ISO;Score;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Situation;Zone;Country_FR;Country_EN;Country_ES;Country_PT;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
AZE;2799;164;1708;173;1801;179;3585;154;3776;147;3127;159;Situation très grave;EEAC;Azerbaïdjan;Azerbaijan;Azerbaiyán;Azerbaijão ;أذربيجان;آذربایجان;2024;151;-13;3993;-11,94
BGD;2764;165;1936;167;2783;167;3132;158;3265;157;2703;167;Situation très grave;Asie-Pacifique;Bangladesh;Bangladesh;Bangladés;Bangladesh ;بنغلاديش;بنگلادش;2024;163;-2;3531;-7,67
SAU;2714;166;2101;161;4036;111;2043;173;3006;163;2384;173;Situation très grave;MENA;Arabie Saoudite;Saudi Arabia;Arabia Saudita;Arábia Saudita ;المملكة العربية السعودية;عربستان سعودی;2024;170;4;3243;-5,29
BLR;268;167;1594;175;3634;132;188;176;3869;143;2421;171;Situation très grave;EEAC;Bélarus;Belarus;Belarús;Bielorrússia ;روسيا البيضاء;روسیه سفید;2024;157;-10;3717;-10,37
CUB;2563;168;1486;176;2448;171;1563;180;3016;162;4305;134;Situation très grave;Amériques;Cuba;Cuba;Cuba;Cuba ;كوبا;کوبا;2024;172;4;29;-3,37
IRQ;2548;169;2065;162;2214;173;2644;170;2946;167;2869;163;Situation très grave;MENA;Irak;Iraq;Irak;Iraque ;العراق;عراق;2024;167;-2;3294;-7,46
EGY;251;170;161;174;2469;170;2981;164;2762;171;2727;166;Situation très grave;MENA;Égypte;Egypt;Egipto;Egito ;مصر;مصر;2024;166;-4;3337;-8,27
MMR;2441;171;2217;158;3167;157;1875;177;30;164;1948;177;Situation très grave;Asie-Pacifique;Birmanie;Myanmar;Birmania;Birmânia ;بورما;برمه;2024;173;2;2826;-3,85
CHN;2336;172;1914;168;2965;163;2228;172;2179;173;2393;172;Situation très grave;Asie-Pacifique;Chine;China;China;China ;الصين;چین;2024;179;7;2297;0,39
BHR;2321;173;1746;171;2092;174;1981;175;207;175;3715;150;Situation très grave;MENA;Bahreïn;Bahrain;Baréin;Bahrein ;البحرين;بحرین;2024;171;-2;3059;-7,38
VNM;2231;174;1322;178;2057;176;2837;166;2351;172;2586;170;Situation très grave;Asie-Pacifique;Vietnam;Vietnam;Vietnam;Vietnã ;فيتنام;ویتنام;2024;178;4;2458;-2,27
TKM;2201;175;1322;178;1788;180;3093;160;1567;180;3232;158;Situation très grave;EEAC;Turkménistan;Turkmenistan;Turkmenistán;Turcomenistão ;تركمانستان;ترکمنستان;2024;176;1;2582;-3,81
IRN;213;176;2319;157;2344;172;2003;174;1984;176;2002;176;Situation très grave;MENA;Iran;Iran;Irán;Irã ;إيران;ایران;2024;177;1;2481;-3,51
PRK;2066;177;1804;169;2059;175;2682;167;1727;178;2057;174;Situation très grave;Asie-Pacifique;Corée du Nord;North Korea;Corea del Norte;Coreia do Norte ;كوريا الشمالية;کره شمالی;2024;180;3;2172;-1,06
AFG;1909;178;2007;164;2906;164;1635;179;1607;179;139;179;Situation très grave;Asie-Pacifique;Afghanistan;Afghanistan;Afganistán;Afeganistão ;أفغانستان;افغانستان;2024;152;-26;3975;-20,66
SYR;1741;179;1435;177;1969;177;2375;171;1772;177;1155;180;Situation très grave;MENA;Syrie;Syria;Siria;Síria ;سوريا;سوریه;2024;175;-4;2722;-9,81
ERI;1664;180;1275;180;1854;178;1692;178;2071;174;1426;178;Situation très grave;Afrique;Érythrée;Eritrea;Eritrea;Eritreia ;إريتريا;اریتره;2024;174;-6;2786;-11,22
