ISO;Score 2025;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Zone;Country_FR;Country_EN;Country_ES;Country_PT;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
BTN;3262;152;2063;161;2234;170;2095;169;1916;174;80;83;Asie-Pacifique;Bhoutan;Bhutan;Bután;Butão ;?????;?????;2025;147;-5;3729;-4,67
THA;5672;85;5187;67;4594;71;4961;119;5536;106;8079;80;Asie-Pacifique;Thaïlande;Thailand;Tailandia;Tailândia ;???????;??????;2025;87;2;5812;-1,4
YEM;3145;154;3201;137;2916;158;3687;148;3307;157;2615;165;MENA;Yémen;Yemen;Yemen;Iêmen ;?????;???;2025;154;0;3367;-2,22
IRQ;3069;155;2582;149;2572;164;3779;145;3481;153;2931;158;MENA;Irak;Iraq;Irak;Iraque ;??????;????;2025;169;14;2548;5,21
SDN;3034;156;2934;143;3015;156;3352;155;4064;143;1805;172;Afrique;Soudan;Sudan;Sudán;Sudão ;???????;?????;2025;149;-7;3573;-5,39
BHR;3024;157;2538;151;2474;167;26648;163;3034;163;441;131;MENA;Bahreïn;Bahrain;Baréin;Bahrein ;???????;?????;2025;173;16;2321;7,03
PAK;2962;158;2506;153;2668;162;3766;146;3337;155;2532;167;Asie-Pacifique;Pakistan;Pakistan;Pakistán;Paquistão ;???????;???????;2025;152;-6;339;-4,28
TUR;294;159;1969;162;2609;163;3242;158;3344;154;3537;149;EEAC;Turquie;Türkiye;Turquía;Turquia ;?????;?????;2025;158;-1;316;-2,2
VEN;2921;160;145;169;296;157;3649;151;3725;147;2819;162;Amériques;Venezuela;Venezuela;Venezuela;Venezuela ;???????;???????;2025;156;-4;3306;-3,85
KHM;2818;161;1742;165;2379;168;3547;153;293;166;3492;150;Asie-Pacifique;Cambodge;Cambodia;Camboya;Cambodja ;???????;??????;2025;151;-10;3428;-6,1
SAU;2794;162;2383;158;4228;86;2135;167;2847;168;2374;169;MENA;Arabie Saoudite;Saudi Arabia;Arabia Saudita;Arábia Saudita ;??????? ??????? ????????;??????? ?????;2025;166;4;2714;0,8
PSE;2741;163;2471;154;3075;152;3278;156;3332;156;1551;177;MENA;Palestine;Palestine;Palestina;Palestina ;??????;??????;2025;157;-6;3192;-4,51
ARE;2691;164;1723;166;3505;126;212;168;2176;171;393;144;MENA;Émirats arabes unis;United Arab Emirates;Emiratos Árabes Unidos;Emirados Árabes Unidos ;???????? ??????? ???????;?????? ????? ????;2025;160;-4;3062;-3,71
CUB;2603;165;1375;172;1907;174;1824;174;3546;152;4364;136;Amériques;Cuba;Cuba;Cuba;Cuba ;????;????;2025;168;3;2563;0,4
SGP;4578;123;3316;133;35994;120;2766;161;4877;125;833;75;Asie-Pacifique;Singapour;Singapore;Singapur;Cingapura ;????????;???????;2025;126;3;4719;-1,41
AZE;2547;167;1744;164;1615;175;3502;154;302;164;2857;160;EEAC;Azerbaïdjan;Azerbaijan;Azerbaiyán;Azerbaijão ;????????;?????????;2025;164;-3;2799;-2,52
DJI;2536;168;1578;167;1508;178;2494;165;2444;170;4658;128;Afrique;Djibouti;Djibouti;Yibuti;Djibuti ;??????;??????;2025;161;-7;3014;-4,78
MMR;2532;169;2399;156;3238;143;1855;173;3604;150;1564;176;Asie-Pacifique;Birmanie;Myanmar;Birmania;Birmânia ;?????;????;2025;171;2;2441;0,91
EGY;2474;170;1363;173;2326;169;3265;157;2567;169;2849;161;MENA;Égypte;Egypt;Egipto;Egito ;???;???;2025;170;0;251;-0,36
RUS;2457;171;1205;177;3296;140;2341;166;3083;162;2357;170;EEAC;Russie;Russia;Rusia;Rússia ;?????;?????;2025;162;-9;2986;-5,29
NIC;2283;172;1476;168;2484;166;1988;170;3008;165;246;168;Amériques;Nicaragua;Nicaragua;Nicaragua;Nicarágua ;?????????;??????????;2025;163;-9;292;-6,37
SYR;1582;177;14;170;1439;179;1601;177;1964;173;1508;178;MENA;Syrie;Syria;Siria;Síria ;?????;?????;2025;179;2;1741;-1,59
KAZ;3934;141;2921;144;3317;136;363;152;4608;131;5191;118;EEAC;Kazakhstan;Kazakhstan;Kazajistán;Cazaquistão ;?????????;????????;2025;142;1;4111;-1,77
VNM;1974;173;1381;171;1915;173;1916;171;2097;172;2562;166;Asie-Pacifique;Vietnam;Vietnam;Vietnam;Vietnã ;??????;??????;2025;174;1;2231;-2,57
IRN;1622;176;1286;175;1926;172;1678;175;1455;177;1766;173;MENA;Iran;Iran;Irán;Irã ;?????;?????;2025;176;0;213;-5,08
TKM;1914;174;763;180;159;176;3194;159;13;178;2724;164;EEAC;Turkménistan;Turkmenistan;Turkmenistán;Turcomenistão ;??????????;?????????;2025;175;1;2201;-2,87
CHN;148;178;978;179;2053;171;1123;179;1573;176;1674;174;Asie-Pacifique;Chine;China;China;China ;?????;???;2025;172;-6;2336;-8,56
PRK;1264;179;1218;176;1105;180;1667;176;946;180;1386;179;Asie-Pacifique;Corée du Nord;North Korea;Corea del Norte;Coreia do Norte ;????? ????????;??? ?????;2025;177;-2;2066;-8,02
ERI;1132;180;1081;178;1546;177;835;180;1169;179;1029;180;Afrique;Érythrée;Eritrea;Eritrea;Eritreia ;???????;??????;2025;180;0;1664;-5,32
