ISO;Score 2025;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Zone;Country_FR;Country_EN;Country_ES;Country_PT;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
CRI;7309;36;4996;76;6169;28;85;10;7668;37;9213;24;Amériques;Costa Rica;Costa Rica;Costa Rica;Costa Rica ;?????????;?????????;2025;26;-10;7613;-3,04
FJI;712;40;6832;31;6099;29;6772;65;7121;55;8774;53;Asie-Pacifique;Fidji;Fiji;Fiyi;Ilhas Fiji ;????;????;2025;44;4;7123;-0,03
SVK;7193;38;5514;60;596;30;7849;34;7827;32;8814;51;UE Balkans;Slovaquie;Slovakia;Eslovaquia;Eslováquia ;????????;???????;2025;29;-9;7603;-4,1
TLS;7179;39;6144;44;5061;53;7851;33;7585;42;9254;20;Asie-Pacifique;Timor oriental;East Timor;Timor Oriental;Timor Leste ;????? ???????;????? ????;2025;20;-19;7892;-7,13
LBY;4042;137;3887;117;3781;109;4385;137;4196;141;3963;142;MENA;Libye;Libya;Libia;Líbia ;?????;????;2025;143;6;4059;-0,17
GAB;7065;41;6117;45;518;49;7058;52;7962;27;9009;40;Afrique;Gabon;Gabon;República Gabonesa;Gabão ;???????;?????;2025;56;15;6583;4,82
MKD;7044;42;5791;50;5048;54;8342;16;7096;56;8944;43;UE Balkans;Macédoine;North Macedonia;República de Macedonia del Norte;Macedônia do Norte ;??????? ????????;??????? ????? ;2025;36;-6;7378;-3,34
DOM;6987;43;6862;30;515;50;8442;12;7771;35;6713;106;Amériques;Rép. Domini.;Dominican Republic;República Dominicana;República Dominicana ;??????? ???????????;?????? ???????;2025;35;-8;7389;-4,02
WSM;6928;44;5739;54;5747;35;6644;72;7636;40;8875;49;Asie-Pacifique;Samoa;Samoa;Samoa;Samoa ;?????;?????;2025;22;-22;7841;-9,13
SYC;6856;45;5901;48;5611;39;7101;49;6982;58;8684;60;Afrique;Seychelles;Seychelles;Seychelles;Seychelles ;?????;?????;2025;37;-8;7375;-5,19
TON;6839;46;5919;46;531;46;6245;85;7426;48;9296;17;Asie-Pacifique;Tonga;Tonga;Tonga;Tonga ;?????;?????;2025;45;-1;7011;-1,72
