ISO;Score;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Zone;Country_FR;Country_EN;Country_ES;Country_PT;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
BRN;442;142;4984;113;348;151;3066;162;2988;170;7583;82;Asie-Pacifique;Brunei;Brunei;Brunéi;Brunei ;بروناي;برونی;2023;144;2;4253;1,67
TZA;4402;143;4297;138;3333;157;316;159;5341;128;5878;107;Afrique;Tanzanie;Tanzania;Tanzania;Tanzânia ;تنزانيا;تانزانیا;2023;123;-20;4828;-4,26
MAR;4369;144;3992;151;3062;164;4897;129;5687;117;4207;139;MENA;Maroc / Sahara occidental;Morocco / Western Sahara ;Marruecos / Sáhara Occidental;Marrocos / Saara Ocidental ;المغرب/الصحراء الغربية;مراکش/صحرای غربی;2023;135;-9;4542;-1,73
ARE;4299;145;4563;130;451;100;3679;153;3068;165;5677;110;MENA;Émirats arabes unis;United Arab Emirates;Emiratos Árabes Unidos;Emirados Árabes Unidos ;الإمارات العربية المتحدة;امارات متحده عربی;2023;138;-7;4446;-1,47
JOR;4279;146;4771;125;3464;153;3774;152;322;164;6168;101;MENA;Jordanie;Jordan;Jordania;Jordânia ;الأردن;اردن;2023;120;-26;4866;-5,87
KHM;4202;147;385;156;2784;171;4642;135;5727;115;4005;144;Asie-Pacifique;Cambodge;Cambodia;Camboya;Cambodja ;كمبوديا;کامبوج;2023;142;-5;4348;-1,46
SDN;4083;148;4208;143;2843;169;3145;160;4015;149;6205;99;Afrique;Soudan;Sudan;Sudán;Sudão ;السودان;سودان;2023;151;3;4096;-0,13
LBY;4022;149;49;118;3431;154;3019;163;4523;144;4236;138;MENA;Libye;Libya;Libia;Líbia ;ليبيا;لیبی;2023;143;-6;4316;-2,94
PAK;3995;150;4271;139;3725;136;4811;130;4811;140;2357;176;Asie-Pacifique;Pakistan;Pakistan;Pakistán;Paquistão ;باكستان;پاکستان;2023;157;7;3799;1,96
AZE;3993;151;3545;165;2591;173;3895;149;50;135;4935;126;EEAC;Azerbaïdjan;Azerbaijan;Azerbaiyán;Azerbaijão ;أذربيجان;آذربایجان;2023;154;3;394;0,53
AFG;3975;152;4896;120;4493;103;4277;145;3068;165;3141;161;Asie-Pacifique;Afghanistan;Afghanistan;Afganistán;Afeganistão ;أفغانستان;افغانستان;2023;156;4;3827;1,48
TJK;3906;153;3417;167;3709;137;5157;123;3617;160;363;149;EEAC;Tadjikistan;Tajikistan;Tayikistán;Tajiquistão ;طاجيكستان;تاجیکستان;2023;152;-1;4026;-1,2
KWT;3884;154;4125;145;2451;177;3019;163;2045;176;7778;78;MENA;Koweït;Kuwait;Kuwait;Kuwait ;الكويت;کویت;2023;158;4;3787;0,97
OMN;3787;155;3625;161;3382;156;1509;179;3807;155;6611;97;MENA;Oman;Oman;Omán;Omã ;عمان;عمان;2023;163;8;3599;1,88
PSE;3786;156;4047;147;402;122;4434;139;3636;158;2795;170;MENA;Palestine;Palestine;Palestina;Palestina ;فلسطين;فلسطین;2023;170;14;2898;8,88
BLR;3717;157;3234;174;4767;82;2807;167;483;139;2945;168;EEAC;Bélarus;Belarus;Belarús;Bielorrússia ;روسيا البيضاء;روسیه سفید;2023;153;-4;3962;-2,45
NIC;3709;158;3581;163;4549;98;2821;166;4432;145;3165;160;Amériques;Nicaragua;Nicaragua;Nicaragua;Nicarágua ;نيكاراغوا;نیکاراگوئه;2023;160;2;3709;0
VEN;3699;159;3489;166;3574;145;3482;155;3853;153;4096;142;Amériques;Venezuela;Venezuela;Venezuela;Venezuela ;فنزويلا;ونزوئلا;2023;159;0;3778;-0,79
LAO;3666;160;3604;162;3333;157;2547;169;3826;154;5019;125;Asie-Pacifique;Laos;Laos;Laos;Laos ;لاوس;لائوس;2023;161;1;3664;0,02
IND;3662;161;3365;169;3415;155;4292;144;4527;143;2712;172;Asie-Pacifique;Inde;India;India;Índia ;الهند;هند;2023;150;-11;41;-4,38
DJI;3587;162;3925;152;2549;174;3453;157;2818;172;519;121;Afrique;Djibouti;Djibouti;Yibuti;Djibuti ;جيبوتي;جیبوتی;2023;164;2;3575;0,12
BGD;3531;163;3906;154;3611;142;3522;154;3655;157;296;167;Asie-Pacifique;Bangladesh;Bangladesh;Bangladés;Bangladesh ;بنغلاديش;بنگلادش;2023;162;-1;3663;-1,32
RUS;3477;164;3243;173;3617;140;3451;158;3894;152;3182;159;EEAC;Russie;Russia;Rusia;Rússia ;روسيا;روسیه;2023;155;-9;3882;-4,05
TUR;3397;165;3656;160;2941;168;4116;146;3011;167;3258;157;EEAC;Turquie;Türkiye;Turquía;Turquia ;تركيا;ترکیه;2023;149;-16;4125;-7,28
EGY;3337;166;2963;176;3196;162;3472;156;3955;151;3102;162;MENA;Égypte;Egypt;Egipto;Egito ;مصر;مصر;2023;168;2;3023;3,14
IRQ;3294;167;3925;152;2804;170;3113;161;3636;158;299;165;MENA;Irak;Iraq;Irak;Iraque ;العراق;عراق;2023;172;5;2859;4,35
YEM;3278;168;375;158;3039;166;4057;147;3409;161;2137;178;MENA;Yémen;Yemen;Yemen;Iêmen ;اليمن;یمن;2023;169;1;2914;3,64
HND;3265;169;40;149;3333;157;3994;148;2237;175;2761;171;Amériques;Honduras;Honduras;Honduras;Honduras ;هندوراس;هندوراس;2023;165;-4;3461;-1,96
SAU;3243;170;3719;159;3333;157;217;174;3011;167;398;145;MENA;Arabie Saoudite;Saudi Arabia;Arabia Saudita;Arábia Saudita ;المملكة العربية السعودية;عربستان سعودی;2023;166;-4;3371;-1,28
BHR;3059;171;3063;175;2525;176;2193;173;3352;162;4164;141;MENA;Bahreïn;Bahrain;Baréin;Bahrein ;البحرين;بحرین;2023;167;-4;3097;-0,38
CUB;29;172;3285;172;3573;146;1436;180;2994;169;3214;158;Amériques;Cuba;Cuba;Cuba;Cuba ;كوبا;کوبا;2023;173;1;2732;1,68
MMR;2826;173;3575;164;4098;120;2019;175;2477;174;196;180;Asie-Pacifique;Birmanie;Myanmar;Birmania;Birmânia ;بورما;برمه;2023;176;3;2503;3,23
ERI;2786;174;3313;171;2696;172;2343;171;2616;173;2961;166;Afrique;Érythrée;Eritrea;Eritrea;Eritreia ;إريتريا;اریتره;2023;179;5;1962;8,24
SYR;2722;175;3365;169;2549;174;2434;170;2955;171;2307;177;MENA;Syrie;Syria;Siria;Síria ;سوريا;سوریه;2023;171;-4;2894;-1,72
TKM;2582;176;2325;180;2039;179;2962;165;932;179;4653;132;EEAC;Turkménistan;Turkmenistan;Turkmenistán;Turcomenistão ;تركمانستان;ترکمنستان;2023;177;1;2501;0,81
IRN;2481;177;3367;168;3051;165;2017;176;1606;178;2362;175;MENA;Iran;Iran;Irán;Irã ;إيران;ایران;2023;178;1;2322;1,59
VNM;2458;178;2375;179;1716;180;184;177;3295;163;3066;163;Asie-Pacifique;Vietnam;Vietnam;Vietnam;Vietnã ;فيتنام;ویتنام;2023;174;-4;2611;-1,53
CHN;2297;179;2606;178;2951;167;1736;178;1707;177;2487;173;Asie-Pacifique;Chine;China;China;China ;الصين;چین;2023;175;-4;2517;-2,2
PRK;2172;180;2656;177;2157;178;2264;172;46;180;3325;156;Asie-Pacifique;Corée du Nord;North Korea;Corea del Norte;Coreia do Norte ;كوريا الشمالية;کره شمالی;2023;180;0;1392;7,8
