ISO;Score;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Zone;Country_FR;Country_EN;Country_ES;Country_PT;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
CPV;7572;33;7386;34;6078;34;7376;49;8017;42;9001;25;Afrique;Cap-Vert;Cabo Verde;Cabo Verde;Cabo Verde ;الرأس الأخضر;کیپورد;2023;36;3;7537;0,35
SYC;7571;34;7438;32;5941;38;7698;43;8023;41;8756;32;Afrique;Seychelles;Seychelles;Seychelles;Seychelles ;سيشيل;سی‌شل;2023;13;-21;8333;-7,62
TWN;7554;35;7383;35;534;55;8075;25;7765;51;9206;13;Asie-Pacifique;Taïwan;Taiwan;Taiwán;Taiwan ;تايوان;تایوان;2023;38;3;7408;1,46
ESP;7537;36;7212;38;6033;37;7874;33;8313;31;8251;55;UE Balkans;Espagne;Spain;España;Espanha ;إسبانيا;اسپانیا;2023;32;-4;7671;-1,34
AND;7505;37;7469;31;5539;49;7712;42;7528;62;9278;10;UE Balkans;Andorre;Andorra;Andorra;Andorra ;أندورا;آندور;2023;53;16;6879;6,26
MKD;7435;38;7233;36;5495;53;8499;10;782;50;8127;64;UE Balkans;Macédoine;North Macedonia;República de Macedonia del Norte;Macedônia do Norte ;مقدونيا الشمالية;مقدونیه شمالی ;2023;57;19;6844;5,91
MNE;7428;39;7213;37;5804;42;8151;23;7648;54;8325;50;UE Balkans;Monténégro;Montenegro;Montenegro;Montenegro ;الجبل الأسود;مونته‌نگرو;2023;63;24;6654;7,74
ARG;7336;40;7525;30;498;71;9066;2;7682;53;7427;86;Amériques;Argentine;Argentina;Argentina;Argentina ;الأرجنتين;آرژانتین;2023;29;-11;7728;-3,92
ITA;7205;41;642;52;5504;51;8032;27;7386;68;8683;35;UE Balkans;Italie;Italy;Italia;Itália ;إيطاليا;ایتالیا;2023;58;17;6816;3,89
HRV;7195;42;6756;44;5107;65;8182;21;7459;66;8471;43;UE Balkans;Croatie;Croatia;Croacia;Croácia ;كرواتيا;کرواسی;2023;48;6;7042;1,53
